Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR▼,RAR,waaWL%,162WL%,Salary,Acquired,Name-additional
Roy Halladay,33,250.2,33,33,74,2.66,4.38,-0.03,0.16,102.0,4.66,56,6.6,,-0.2,8.5,77,.700,.541,$15750000,Traded,hallaro01
Cole Hamels*,26,208.2,33,33,74,3.19,4.44,-0.02,0.17,100.8,4.66,34,3.9,,-0.2,5.5,51,.617,.524,$6650000,Amateur Draft,hamelco01
Roy Oswalt,32,82.2,13,12,18,1.96,4.31,-0.02,0.16,98.6,4.43,23,2.7,1.05,-0.1,3.3,30,.707,.517,,Traded,oswalro01
Ryan Madson,29,53.0,55,0,16,2.72,4.36,-0.02,-0.33,99.4,4.03,8,0.8,1.37,0.0,1.3,12,.515,.505,$4833333,Amateur Draft,madsory01
Brad Lidge,33,45.2,50,0,16,3.15,4.46,-0.02,-0.33,101.6,4.22,5,0.6,1.72,0.1,1.1,9,.511,.504,$12000000,Traded,lidgebr01
José Contreras,38,56.2,67,0,22,3.49,4.47,-0.02,-0.33,102.4,4.26,5,0.5,1.16,-0.1,0.9,10,.508,.503,$1500000,Free Agency,contrjo01
Chad Durbin,32,68.2,64,0,29,3.80,4.37,-0.02,-0.33,101.7,4.14,2,0.3,.92,-0.2,0.7,8,.504,.502,$2125000,Free Agency,durbich01
Vance Worley,22,13.0,5,2,2,1.38,4.43,-0.02,0.05,99.2,4.47,4,0.5,.27,-0.1,0.6,6,.601,.503,,Amateur Draft,worleva01
J.A. Happ*,27,15.1,3,3,4,2.35,4.10,-0.03,0.15,99.9,4.28,3,0.4,,0.0,0.5,5,.625,.502,$470000,Amateur Draft,happja01
Nelson Figueroa,36,26.0,13,1,10,3.46,4.39,-0.03,-0.23,102.2,4.28,2,0.2,.77,-0.1,0.4,5,.519,.502,,Waivers,figuene01
Kyle Kendrick,25,180.2,33,31,103,5.13,4.37,-0.03,0.16,101.8,4.64,-10,-1.0,.11,-0.1,0.4,5,.469,.494,$480000,Amateur Draft,kendrky01
J.C. Romero*,34,36.2,60,0,17,4.17,4.71,-0.03,-0.35,102.4,4.49,1,0.1,1.01,-0.1,0.4,4,.502,.501,$4250000,Free Agency,romerj.01
Jamie Moyer*,47,111.2,19,19,64,5.16,4.43,-0.03,0.17,101.0,4.67,-6,-0.6,,-0.1,0.2,3,.466,.496,$8000000,Free Agency,moyerja01
Antonio Bastardo*,24,18.2,25,0,9,4.34,4.65,-0.02,-0.35,102.4,4.43,0,0.0,.70,-0.1,0.1,2,.501,.500,$405000,Amateur Free Agent,bastaan01
David Herndon,24,52.1,47,0,27,4.64,4.38,-0.03,-0.33,102.4,4.18,-3,-0.3,.56,-0.1,0.1,2,.494,.498,$400000,MinorLg Draft,herndda01
Joe Blanton,29,175.2,29,28,104,5.33,4.39,-0.03,0.16,101.7,4.66,-13,-1.4,.34,-0.1,0.0,1,.453,.492,$3000000,Traded,blantjo01
Scott Mathieson,26,1.2,2,0,3,16.20,4.72,-0.05,-0.35,102.0,4.50,-2,-0.2,.17,0.1,-0.1,-2,.396,.499,,Free Agency,mathisc01
Drew Carpenter,25,3.0,1,0,3,9.00,4.77,-0.04,-0.36,92.0,4.09,-2,-0.2,.92,0.0,-0.1,-1,.350,.499,$401000,Amateur Draft,carpean01
Nate Robertson*,32,1.0,2,0,6,54.00,4.23,-0.05,-0.32,102.0,4.05,-6,-0.5,.02,0.2,-0.2,-5,.272,.497,,Free Agency,roberna01
Mike Zagurski*,27,7.0,8,0,8,10.29,4.44,-0.02,-0.33,100.1,4.13,-5,-0.5,.60,0.1,-0.3,-4,.440,.497,,Amateur Draft,zagurmi01
Danys Báez,32,47.2,51,0,31,5.85,4.40,-0.03,-0.33,102.7,4.21,-9,-0.9,.69,0.0,-0.5,-5,.482,.494,$2500000,Free Agency,baezda01
Team Total,30.9,1456.1,613,162,640,3.96,4.41,-0.03,0.02,101.4,4.51,88,11.0,1.01,-0.9,22.7,211,.518,.504,$62764333,,-9999
